Date;Pax_CDG;Pax_ORY;Choc;Pax_Tot;Mov_CDG;Mov_ORY;Mov_Tot;IPC;Mvt_soc_SNCF;Population;Carburant_aviation_Price;Pétrole_brut_Price;tx_chomage;Temp_moyenne_paris;Brent;GDP
Jan-00;3 223 328;1 935 261;0;5 158 589;39 489;19 956;59 445;74,84;3197;58858;0,78;25,31;9,762011;5;25;451386,58
Feb-00;3 289 676;1 942 750;0;5 232 426;38 386;19 347;57 733;75,14;2905;58877;0,78;27,22;9,60963;7,7;28,2;453585,365
Mar-00;3 891 206;2 204 640;0;6 095 846;42 049;21 286;63 335;75,14;2238;58903;0,77;27,49;9,466991;9,2;28,6;455784,15
Apr-00;4 221 430;2 266 448;0;6 487 878;42 931;20 192;63 123;76,12;5350;58936;0,72;23,47;9,38745;11,4;24;457237,1933
May-00;4 217 758;2 203 570;0;6 421 328;43 909;20 921;64 830;75,98;8986;58969;0,76;27,19;9,265353;16,7;30,6;458690,2367
Jun-00;4 279 344;2 190 218;0;6 469 562;41 966;19 331;61 297;77,12;5231;59008;0,79;29,62;9,15482;18,8;31,3;460143,28
Jul-00;4 682 912;2 395 534;0;7 078 446;44 303;20 198;64 501;79,2;291;59045;0,8;28,18;9,072646;18,3;30,4;461103,0967
Aug-00;4 576 937;2 154 899;0;6 731 836;45 145;18 811;63 956;77,58;681;59086;0,9;29,26;8,978878;21;32,9;462062,9133
Sep-00;4 512 627;2 171 903;0;6 684 530;43 917;20 476;64 393;76,92;44211;59125;1,02;32,08;8,890582;17,6;37,8;463022,73
Oct-00;4 213 380;2 118 727;0;6 332 107;43 180;20 297;63 477;76,51;3727;59163;0,98;31,4;8,837669;12,7;36,1;464261,02
Nov-00;3 610 865;1 861 737;0;5 472 602;42 218;19 158;61 376;76,77;4143;59199;1,03;32,33;8,762303;8,9;37,9;465499,31
Dec-00;3 526 674;1 950 841;0;5 477 515;41 063;18 957;60 020;77,38;4134;59233;0,86;25,2;8,69482;7,8;28,8;466737,6
Jan-01;3 505 227;1 948 253;0;5 453 480;42 395;19 830;62 225;76,66;14628;59267;0,87;25,96;8,64183;5,8;27,2;467651,9067
Feb-01;3 400 920;1 872 743;0;5 273 663;39 333;18 354;57 687;77,56;3750;59297;0,82;27,24;8,589628;6,5;29,8;468566,2133
Mar-01;4 066 319;2 094 897;0;6 161 216;43 847;20 254;64 101;76,86;61797;59327;0,75;25,02;8,545217;9,6;27;469480,52
Apr-01;4 426 602;2 225 400;0;6 652 002;44 161;19 821;63 982;78,09;17387;59360;0,77;25,72;8,491801;10,1;28,6;469668,9767
May-01;4 342 073;2 020 587;0;6 362 660;45 577;19 367;64 944;77,75;2061;59394;0,82;27,55;8,46683;16,7;32,5;469857,4333
Jun-01;4 602 279;2 095 587;0;6 697 866;44 551;18 276;62 827;77,85;5002;59432;0,77;26,97;8,453499;18,2;32,5;470045,89
Jul-01;4 869 487;2 146 829;0;7 016 316;46 621;18 172;64 793;81,91;497;59469;0,71;24,8;8,386965;20,6;28,5;470561,7033
Aug-01;4 736 095;1 991 619;0;6 727 714;46 594;16 540;63 134;80,92;607;59509;0,76;25,82;8,393212;21,1;28,6;471077,5167
